to,from,username
42366372,184228025.0,bmoneymt
42366372,57411965.0,bmoneymt
42366372,952212548.0,bmoneymt
42366372,705926906.0,bmoneymt
42366372,2843160670.0,bmoneymt
42366372,17349381.0,bmoneymt
42366372,79592078.0,bmoneymt
42366372,506699811.0,bmoneymt
42366372,8.191480996711793e+17,bmoneymt
42366372,1.2913754449067418e+18,bmoneymt
57411965,1241814162.0,beaufast
57411965,3086876114.0,beaufast
57411965,1332824029.0,beaufast
57411965,78105431.0,beaufast
57411965,3042402394.0,beaufast
57411965,91927783.0,beaufast
57411965,42366372.0,beaufast
57411965,364017466.0,beaufast
57411965,1.3506693553112637e+18,beaufast
57411965,1.3305604000440852e+18,beaufast
952212548,296150557.0,hecsantiago53
952212548,969509270.0,hecsantiago53
952212548,2305256336.0,hecsantiago53
952212548,155808144.0,hecsantiago53
952212548,368469572.0,hecsantiago53
952212548,902483677.0,hecsantiago53
952212548,7.718354687449457e+17,hecsantiago53
952212548,8.500993584816292e+17,hecsantiago53
952212548,379356049.0,hecsantiago53
952212548,22190731.0,hecsantiago53
705926906,1.5143723963329495e+18,goldmedalmind
705926906,1.4327255085722542e+18,goldmedalmind
705926906,9.761689605917901e+17,goldmedalmind
705926906,1.523460793815253e+18,goldmedalmind
705926906,14383655.0,goldmedalmind
705926906,579457856.0,goldmedalmind
705926906,351935586.0,goldmedalmind
705926906,1.4920371570743828e+18,goldmedalmind
705926906,1.4814770263810253e+18,goldmedalmind
705926906,1.5281785577966223e+18,goldmedalmind
2843160670,626640780.0,grizmont1
2843160670,42366372.0,grizmont1
2843160670,23174769.0,grizmont1
2843160670,2838195223.0,grizmont1
17349381,1.5869239764958577e+18,frfrankpavone
17349381,1.4857780424044093e+18,frfrankpavone
17349381,7.685062811077878e+17,frfrankpavone
17349381,9.5314795188224e+17,frfrankpavone
17349381,7.419143481138217e+17,frfrankpavone
17349381,1.589301528447185e+18,frfrankpavone
17349381,142966988.0,frfrankpavone
17349381,1.5858427503351153e+18,frfrankpavone
17349381,1.58611951886635e+18,frfrankpavone
17349381,7.575615852504228e+17,frfrankpavone
79592078,79592217.0,LesaLesa_MV
79592078,4876188678.0,LesaLesa_MV
79592078,31458420.0,LesaLesa_MV
79592078,41316174.0,LesaLesa_MV
79592078,1000237423.0,LesaLesa_MV
79592078,204983390.0,LesaLesa_MV
79592078,455092719.0,LesaLesa_MV
79592078,2555651310.0,LesaLesa_MV
79592078,341651908.0,LesaLesa_MV
79592078,1605656077.0,LesaLesa_MV
506699811,129070807.0,zach_olstad
506699811,764409590.0,zach_olstad
506699811,619764078.0,zach_olstad
506699811,2385444980.0,zach_olstad
506699811,522455024.0,zach_olstad
506699811,560742616.0,zach_olstad
506699811,1375372446.0,zach_olstad
506699811,28745693.0,zach_olstad
506699811,94587132.0,zach_olstad
506699811,8.2292336361395e+17,zach_olstad
819148099671179264,1.0462986081721754e+18,RajanS32812221
819148099671179264,3233984472.0,RajanS32812221
819148099671179264,7.505395797074944e+17,RajanS32812221
819148099671179264,8.190142339753861e+17,RajanS32812221
819148099671179264,8.177134318265344e+17,RajanS32812221
819148099671179264,4374589514.0,RajanS32812221
538476420,1.535948700803281e+18,BruceWillisUA
538476420,1.5969392725521613e+18,BruceWillisUA
538476420,1670480300.0,BruceWillisUA
538476420,1.4598405579838792e+18,BruceWillisUA
538476420,9.178151015577477e+17,BruceWillisUA
538476420,1.176156151894958e+18,BruceWillisUA
538476420,1.377921304729432e+18,BruceWillisUA
538476420,1.0316641692029256e+18,BruceWillisUA
