name,screen_name,created_at,id,friends_count,followers_count
B.S.,bmoneymt,2009-05-25 07:00:36+00:00,42366372,167,119
Conspiracy theorist ✙,consp_theor,2017-10-10 18:12:27+00:00,917815101557747712,724,459
Валентина_UKR,UKR26019148,2019-09-23 15:28:43+00:00,1176156151894958080,861,215
Janek Mazurek,JanekMazurek,2021-04-02 09:50:46+00:00,1377921304729432064,908,35
Gabriel yulaw,YulawGabriel,2018-08-20 22:08:00+00:00,1031664169202925568,310,52
jjkejn,jjkejntwtch,2020-10-17 13:09:16+00:00,1317452576028348416,437,29
stallion,stallio81899962,2022-11-07 21:44:43+00:00,1589735560880754688,325,52
BEAUFAST,beaufast,2009-07-16 18:50:30+00:00,57411965,235,16
Say No to RSS Hindutva Terror,uzzy790123,2022-10-01 20:37:47+00:00,1576310318661353474,146,33
نور🤍🇱🇧,nourrrrrr_1,2018-05-31 23:10:16+00:00,1002326421933469697,93,34
Брюс Всемогутній 🇺🇦⚽️,BruceWillisUA,2012-03-27 18:40:48+00:00,538476420,8,35
Sarah Norman,nsfnorman,2010-06-25 14:14:37+00:00,159485327,138,162
College Station Police Department,CSTXPolice,2014-07-18 19:26:02+00:00,2657541955,2142,14357
Brent Zwerneman 📰,BrentZwerneman,2009-06-13 07:06:16+00:00,46845373,6539,26108
Katlyn Lewis,katlyn_neel20,2012-06-27 01:46:41+00:00,619583443,229,271
Mark Sykes Photo,msykesphoto,2009-03-02 23:22:52+00:00,22551804,389,425
Michael Peters,mgpeters23,2009-03-24 06:19:01+00:00,26190158,701,1621
Swamptails,swamptails15,2015-11-13 19:58:31+00:00,4226905873,276,132
"30,000 ARMY SUICIDES",Warx2TheMovie,2012-07-18 18:31:48+00:00,703561088,756706,231924
Sam White,samhwhite,2008-08-30 21:18:16+00:00,16058600,1698,1249
DeplorableClinger,Knooch21,2010-05-21 23:08:44+00:00,146623883,1224,616
Hector Santiago,hecsantiago53,2012-11-16 18:46:05+00:00,952212548,24294,26592
Dr. Jim Afremow,goldmedalmind,2012-07-19 22:46:30+00:00,705926906,139983,127625
gwen mielke,grizmont1,2014-10-25 00:54:18+00:00,2843160670,32,4
Fr. Frank Pavone,frfrankpavone,2008-11-12 21:33:25+00:00,17349381,134181,177051
Lesa Severse,LesaLesa_MV,2009-10-03 23:32:59+00:00,79592078,124,42
Olstad,zach_olstad,2012-02-28 01:44:22+00:00,506699811,1892,1797
Rajan S,RajanS32812221,2017-01-11 11:45:00+00:00,819148099671179264,174,6
Josh Weinel,SlimTwin,2009-04-26 13:10:43+00:00,35461308,459,403
🌺 Gigi 🌺,LovelyGigi33,2013-07-03 02:50:23+00:00,1564676498,13500,70264
mohamed,mohamed48767775,2022-02-08 15:09:51+00:00,1491066641597276164,1,2
TWNTY SVN 🦇,twntysvnfrvr,2009-04-06 04:00:01+00:00,29139065,13096,16686
BLOODBOY,whitebans,2016-06-09 21:07:16+00:00,741013820282376197,1144,949
Laryssa🌈💦❄️,laryssa_danyell,2016-07-28 00:02:03+00:00,758452421962129409,423,25
INFERIUS MUSIC,InferiusMusic,2018-04-14 05:02:44+00:00,985020505924124672,1169,438
BUTTERFLY EFFECT,BUTTERFLYSEASN,2017-08-06 10:02:42+00:00,894136643497545728,890,13
cheeheaux,teamcheeheaux,2009-05-19 06:06:19+00:00,41066441,3649,17952
漂 亮 P 的 貓,TrapSznII,2016-09-29 02:02:24+00:00,781313143607857152,310,21
erica 🏹,ericalogannn,2016-03-07 02:05:06+00:00,706661924746956801,474,458
Karla,kkarladurannn,2017-07-26 03:25:27+00:00,890050403370496001,2472,334
helen lambert,helen63lambert,2014-09-06 16:06:46+00:00,2763042694,303,213
Philip Richards,R48030777Sharon,2021-10-17 10:31:08+00:00,1449684212286726144,619,253
The People’s Republic of Tiverton,TheTiverton,2020-12-09 20:32:12+00:00,1336770590842232832,1180,716
Xanthe,Crockadial,2008-10-24 12:54:09+00:00,16948558,556,895
RedHerring,CoastKerry,2013-02-10 18:18:48+00:00,1166627251,4872,4094
Oggy,Oggyoioioi,2015-12-19 00:25:10+00:00,4598307626,4678,3392
Jane Nellist,janenellist1,2009-03-03 23:56:11+00:00,22702802,2857,3062
Dr Megan Smith,megs1970,2012-07-29 15:33:39+00:00,724186680,7934,19834
SaraFaridio 🇵🇸,SaraFaridio,2020-04-09 14:34:03+00:00,1248257768622043136,8274,8356
Fatima,Fatimay5r,2022-08-06 07:00:34+00:00,1555810962338451456,4930,1007
Wayne DuPree (Shadow-Banned) 🇺🇸,WayneDupreeShow,2011-04-15 18:32:32+00:00,282695161,16941,475979
Harli Lott,harlilott07,2022-05-11 22:57:10+00:00,1524523902126284801,37,1
sarah fouyer,FouyerSarah,2020-10-31 12:41:32+00:00,1322519039869128705,302,35
T.S. Fitzgerald,ts_fitzgerald,2012-12-06 22:42:25+00:00,993951462,24770,21923
iSheeple,iSheeple1,2012-10-26 19:24:41+00:00,906620078,30646,29413
Brent,gunmaster0702,2014-04-29 10:03:11+00:00,2516595448,2543,2473
Major Victor Bravo❌,Conservatexian,2012-10-26 01:11:15+00:00,905019768,32927,27769
Truth pirate,charlesfarling1,2013-09-28 07:16:34+00:00,1913398494,1704,448
AflyingF,stoopnagle,2010-07-02 04:09:21+00:00,161925737,1044,795
Dammit!,Dammitsf,2008-06-01 01:22:46+00:00,14967891,27894,24558
txbucfan63,noonespecial47,2013-02-13 04:12:13+00:00,1173863707,175,26
Karl-Heinz Feldkamp,KH_Feldkamp,2013-08-14 13:12:15+00:00,1670480300,8457,10940
Макс,Maks37876155,2021-11-14 11:08:19+00:00,1459840557983879172,78,2
arimi,YouAintIAint,2020-09-04 09:34:45+00:00,1301815916091650048,377,263
Orgen,kelmendiorgen,2011-11-11 22:05:17+00:00,410282970,326,448
Arianit Beqiri,ArianitBeqiri,2020-03-29 20:39:01+00:00,1244363401230417920,688,989
Shpend Shala,ShpendShala14,2020-03-20 19:07:24+00:00,1241078727242584065,688,792
Dea Lala,Deaa_Lala,2021-08-11 11:13:27+00:00,1425414999116222466,159,92
Albin,albinmatoshii,2018-01-05 17:28:52+00:00,949331877650993152,294,203
subzer0,gentrz,2019-08-02 00:44:27+00:00,1157089744578387968,194,248
jose,afcjosie,2016-06-11 21:59:29+00:00,741751733299339269,186,132
Verona,raminavero,2012-02-12 14:11:02+00:00,490381285,160,290
Gresa,GresaTernava,2012-12-21 16:15:55+00:00,1026693955,201,169
Erin Jackson,wifeofoilworker,2022-01-24 02:43:08+00:00,1485442941405519875,87,11
Tim,TdubTimW,2022-11-30 17:31:39+00:00,1598006810434117632,323,8
nevpat,nevpat68,2022-11-30 05:44:25+00:00,1597828813089427456,124,12
Walter Wojciula,watchers569,2022-10-27 03:35:02+00:00,1585474989570101248,843,89
Carlotta Erdman,CarlottaErdman,2022-04-27 13:53:01+00:00,1519313577596768256,327,10
ChirplineMessiah,ChirplineDmz,2022-11-20 19:29:19+00:00,1594412518587437056,155,16
sk st.louis,skstlouis,2022-12-03 12:21:06+00:00,1599015555649847296,116,1
John Seamans,JohnSeamans12,2020-02-09 13:58:31+00:00,1226505381565698048,8,3
Gina,mrswright406,2016-01-15 05:37:36+00:00,4761492350,143,21
Coleman Zauner,colemanzauner,2013-04-07 00:47:05+00:00,1332824029,40,45
Christinephilip,Christi98684749,2020-07-20 22:57:52+00:00,1285348157065498624,117,9
Steamboat Lodging Company,SBLodgingCo,2021-03-15 21:18:57+00:00,1371571596255653888,3808,1094
Pink-cavalry,CavalryPink,2019-01-28 23:20:05+00:00,1090026759192481793,1097,135
Pam,PamTheeElf,2018-01-28 19:40:04+00:00,957699817408532485,665,140
Janet Zauner,Jmz1983,2012-03-23 05:20:27+00:00,533902952,333,81
Billie Tarascio,btarascio,2008-10-16 02:04:13+00:00,16799896,9,7
YinzerCrazy.com ⚫️🟡,yinzercrazyshow,2019-06-28 18:18:08+00:00,1144671339044855811,7863,7905
Rina,rinademiriii,2019-06-19 21:31:05+00:00,1141458404994682881,390,371
Conspiracy theorist ✙,consp_theor,2017-10-10 18:12:27+00:00,917815101557747712,724,459
Валентина_UKR,UKR26019148,2019-09-23 15:28:43+00:00,1176156151894958080,861,215
Janek Mazurek,JanekMazurek,2021-04-02 09:50:46+00:00,1377921304729432064,908,35
Gabriel yulaw,YulawGabriel,2018-08-20 22:08:00+00:00,1031664169202925568,310,52
jjkejn,jjkejntwtch,2020-10-17 13:09:16+00:00,1317452576028348416,437,29
stallion,stallio81899962,2022-11-07 21:44:43+00:00,1589735560880754688,325,52
BEAUFAST,beaufast,2009-07-16 18:50:30+00:00,57411965,235,16
Say No to RSS Hindutva Terror,uzzy790123,2022-10-01 20:37:47+00:00,1576310318661353474,146,34
نور🤍🇱🇧,nourrrrrr_1,2018-05-31 23:10:16+00:00,1002326421933469697,93,34
