name,screen_name,created_at,id,friends_count,followers_count
mohamed,mohamed48767775,2022-02-08 15:09:51+00:00,1491066641597276164,1,2
Say No to RSS Hindutva Terror,uzzy790123,2022-10-01 20:37:47+00:00,1576310318661353474,132,25
نور🤍🇱🇧,nourrrrrr_1,2018-05-31 23:10:16+00:00,1002326421933469697,93,34
ابو مصعب الفلسطيني,fahmi_jaradat,2014-01-22 14:14:43+00:00,2304918308,1452,316
Random,rent_hero,2017-07-15 12:00:29+00:00,886193751332442112,692,582
Hanan Ajman,HananAjman,2012-10-26 12:20:31+00:00,905886080,87,33
Ruthieal,Ruthieal2,2016-04-14 06:46:07+00:00,720503382411231233,3640,460
Lena Neige,lena_neige,2010-08-07 11:44:33+00:00,175717187,120,29
LeaveMeAlone,SkinnyBiish,2022-02-16 19:13:00+00:00,1494026937500639239,13,9
Indian patriot,Pajeetpatriot,2022-09-18 19:58:34+00:00,1571589464190816259,521,58
Muhammad Abdullah,Muhamma48196652,2020-07-05 12:30:57+00:00,1279754572664356866,111,9
Shanikhan,Shanikh77552713,2021-01-15 11:04:10+00:00,1350035847089950721,4893,1490
Max,Maxification69,2021-04-21 01:39:41+00:00,1384683172265439233,268,23
Eren yeager🇵🇰,BabaJee32097120,2022-01-12 13:25:43+00:00,1481255884785434626,648,249
YelloW StroM,strom_yellow,2022-11-23 08:52:33+00:00,1595339462241812481,206,12
Hassan jani hassan khan,Hackergz,2022-03-28 06:57:42+00:00,1508337392972812290,1815,81
Arz-e-Ishq,Arze_Ishqq,2022-02-14 18:48:36+00:00,1493296030342811649,3171,998
Delta ڈیلٹا ਡੈਲਟਾ,D_Pentapotamian,2021-10-11 14:16:12+00:00,1447566564765708290,876,202
احمد,ytoi6083bkiy097,2021-05-21 14:12:20+00:00,1395744081146519559,236,205
AlMughira (Killua),AlMughira11,2021-04-26 17:17:54+00:00,1386731244554268676,1157,25
Hanna,Hanna07388885,2022-08-16 13:41:30+00:00,1559535764052103169,439,295
Saifullah,Saifull97700737,2022-11-04 03:40:14+00:00,1588375500870647808,377,24
Shumaila Iqbal mughal,ShumailaIqbalm1,2022-08-28 17:03:57+00:00,1563935231471919104,417,521
Shahid Hameed,iShahidHameed,2019-12-28 07:27:00+00:00,1210824371104702466,5105,21126
ILLegal Page/غیر قانونی صفحہ,SyedNishatRaza1,2016-05-31 06:47:39+00:00,737535997466923008,1018,328
UNITE MUSLIMS,jo_rfy,2022-07-11 11:19:15+00:00,1546454034189533184,48,3
Next Level,next_level786,2017-06-15 23:57:11+00:00,875502477780680704,766,220
Muzammil HoCaiN 🇵🇰,fida_muzammil,2019-08-19 06:43:20+00:00,1163340587233423360,271,167
🇱🇧🇱🇧,uuserrsztr151q6,2020-08-06 08:43:51+00:00,1291293858735611904,1,2
Polly,Polly29479516,2022-03-15 09:23:48+00:00,1503663081582432256,98,2
AZO☬,azojabber,2012-12-28 18:07:47+00:00,1042806710,2155,212
Ziad Nabhani,ziad_nabhani,2021-08-16 20:28:50+00:00,1427366676794855429,346,57
Luqman Ahsan,imLahsan,2014-09-27 08:33:28+00:00,2833786310,163,18
Wipster Hybrid,waspjerky,2018-12-31 23:31:29+00:00,1079882767171751936,144,15
Mary,Mia302709,2022-10-12 06:00:40+00:00,1580075913068171264,1103,203
Dickson Acheampong,DicksonAdom7,2022-07-11 18:27:34+00:00,1546561739340267522,1070,409
Steven Gengler,Stevewriter112,2022-11-10 02:38:34+00:00,1590534258468061184,514,28
Pete,bMORESPORTSpls,2010-09-18 00:13:03+00:00,192024890,1354,118
Gwendolyn,liaw_gwendolyn9,2022-10-05 11:34:26+00:00,1577623158839975939,997,103
evergladeglow,evergladeglow,2022-01-02 15:34:56+00:00,1477664582365847560,2177,376
,BethrdThornton,2022-08-30 02:04:48+00:00,1564433844849315840,229,9
Teyarra Alexander,datxplozionT,2022-01-10 18:51:47+00:00,1480613254787391495,153,10
sAINT K$MONEY Kriss,youngdaggerkris,2015-07-16 23:10:26+00:00,3379619788,253,297
GuideMarkings,GuideMarkings,2019-01-04 08:52:13+00:00,1081111043877756928,1426,1369
sofia rose,melophobicbears,2017-06-06 16:32:13+00:00,872129008057466880,1375,193
Jalen Maxwell,JalenMaxedOut,2011-06-22 05:33:39+00:00,321820802,1077,560
nour,n_zanzoul,2017-09-04 19:40:15+00:00,904791233490550785,109,20
DreBone1986,DreBone1986,2009-02-12 02:50:55+00:00,20649672,4923,859
Makenna Orrick,MakennaOrrick,2017-09-10 01:18:07+00:00,906688202525827072,410,186
lookaidreeb,voltascominback,2009-05-10 22:36:49+00:00,39126261,323,156
Delga,momodelga,2016-11-06 09:38:04+00:00,795198554209980418,839,29
vanessaarroyo,vanessa69916971,2018-05-25 07:18:42+00:00,999912626866896897,1230,74
viralvideos,viralvideos2k18,2018-06-05 01:56:47+00:00,1003817882244014080,283,22
_KH.Q,KH_Q84,2012-04-02 23:06:33+00:00,543885441,3356,1741
الفتى الهاشمي,CXE23UCtGJkzQCO,2019-03-19 19:29:29+00:00,1108088117112770560,1113,335
عابر سبيل,elharamelrabe,2016-02-26 18:23:02+00:00,703284147738042369,4999,2476
أحمد مصطفي,ahmedmostafa_30,2011-11-27 23:25:02+00:00,422997370,1354,358
salahgalal,nabilsalah12341,2016-01-26 21:23:57+00:00,4851165503,2502,132
عربي يمني,oDHP8PXvsHlb7Ut,2020-10-10 17:44:38+00:00,1314985079622504451,547,61
المحامي محمدالطشي,lGvH8Ske0F7CO7G,2017-10-06 13:32:18+00:00,916295048328826880,3929,689
Williams Charter,WilliamsCharte2,2019-09-03 14:53:57+00:00,1168899889364905984,4679,471
Saad Muhammad,S56saad,2011-12-08 18:04:37+00:00,431795889,2290,177
Chiaki✨副業で月収100万円女子\n,Chiaki100n5,2022-11-05 13:41:48+00:00,1588889262329470976,203,12
ابو محمد,A4nGsx4OkVLJ40c,2018-04-21 16:01:23+00:00,987722975444111360,311,28
المحامية وعد النابلسي,waadnabulsi,2019-01-28 20:50:15+00:00,1089989051820724225,594,332
حيدر الموسوي,hayderalmoosawy,2015-10-28 00:06:13+00:00,4056921857,4297,3194
سامر القرشي,Hope_Love07,2018-02-12 10:25:34+00:00,962996093142405120,124,49
هبوب الشمال,gHk39nb4UGrJWpZ,2018-09-25 18:50:14+00:00,1044660364435226629,125,2
Farhhhat,Farhhhhhat,2019-11-08 00:04:49+00:00,1192593680751906818,1625,989
mohammed,mohamme49842674,2017-04-09 17:02:27+00:00,851118117803757568,897,126
Atag,Atag70764014,2017-04-06 22:30:23+00:00,850113483492524037,367,52
يوميات مغرد عُماني !🇴🇲,omani_twitt,2013-09-11 05:01:18+00:00,1853359238,802853,780966
mona abdalla,monaabd93920187,2018-11-05 22:15:39+00:00,1059569962942164992,60,11
fras jarad,FrasJarad,2019-07-18 08:08:14+00:00,1151765605911060485,1230,119
حسن الشمري,HsAlshimary1010,2020-01-30 20:01:27+00:00,1222973053317107712,11627,15121
عماد مصطفی حاووط,h7fCv80S7KE5fVr,2015-10-15 18:03:26+00:00,3905162118,2170,9958
Saad Momhamed,SaadMomhamed,2020-05-14 19:31:21+00:00,1261016043830546432,4980,954
هيثم ابو سعيد,k2KOKvs6eXacDGi,2020-02-27 21:45:48+00:00,1233146176855298048,3706,2530
السيد عثمان,elseydothman,2018-08-28 20:17:08+00:00,1034535372624146432,126,4
سعود بن عبدالرحمن,QatarSba,2011-10-18 08:15:44+00:00,393260115,3749,11058
Ahmad Alayadi,ayadi3150,2014-11-17 02:41:12+00:00,2880398686,4625,920
Son of Yemen,khalid12khl,2018-12-25 17:44:14+00:00,1077621051264258048,4836,492
جمهورية راجح,Lt3JDatNwzTkTBV,2020-03-11 12:34:42+00:00,1237718497666482178,2478,653
Becky DeGraffenried,BeckyDeGraffen1,2020-08-29 18:28:37+00:00,1299775915594055688,60,5
AMAD,amadedin,2013-08-02 12:18:49+00:00,1640303250,4984,1618
aِِِِAtef je je,atef_shsh,2015-03-01 14:32:25+00:00,3052678106,1579,654
رهف,MJoBBJGqkiSXstv,2019-12-12 18:02:46+00:00,1205186189038411781,1327,238
amri mellouki,MelloukiAmri,2017-09-30 23:52:01+00:00,914276678716809216,485,26
Majeda abedalqader,majedahh,2010-12-12 08:00:18+00:00,225714196,1244,679
Dr. Masabi,DrMasabi,2011-06-10 18:54:30+00:00,314744820,4255,2992
الزوقري الزوقري,tqR3gemf37FXNBt,2019-01-31 09:10:07+00:00,1090900021833334784,3428,292
Shehab rased,RasedShehab,2012-03-20 03:56:33+00:00,530977116,879,72
﮼المحامي، ﮼عبدالله،المحري ,Law_almehri,2016-03-04 18:11:28+00:00,705817954680770561,10708,37990
الدكتور محمود الشامي,M_Shadi3,2013-05-04 14:26:26+00:00,1402479644,3289,12358
ghassen 🇹🇳,ghassen39793624,2017-01-13 19:13:52+00:00,819985832899735553,4338,1162
🇰🇼د. محمد عبدالله المطر🇵🇸,Dr_Almtar,2010-12-28 22:03:51+00:00,231567836,4998,24413
Rima,Rima49006472,2018-11-02 22:14:48+00:00,1058482584701886464,265,19
ابو زياد..... abu zeyad,apoziad5045,2017-08-10 15:19:28+00:00,895665910991728641,541,94
Ahmed Alawi,alawi_a,2013-11-17 10:50:29+00:00,2199324157,2057,259
Isam Farun,FarunIsam,2019-09-27 19:01:26+00:00,1177659393015504896,591,1
ساريه العبدالله,sariea14,2021-08-13 09:24:43+00:00,1426112129325748225,4948,2725
كويتي ٤٠,Pf0Wm,2020-05-17 03:22:27+00:00,1261859524966785024,904,699
Ahmed adel,Ahmedad62790140,2019-11-26 09:07:18+00:00,1199253034368479232,762,92
