name,screen_name,created_at,id,friends_count,followers_count
Sharlene Qualle,QualleSharlene,2022-07-01 00:04:13+00:00,1542660286414409728,1968,49
Richard Feakins,FeakinsRichard,2017-09-21 13:50:02+00:00,910863690357932032,2368,948
Adriano,Adriano11928715,2022-08-26 01:55:27+00:00,1562981928092909568,68,1
King,King91817475,2022-08-02 17:40:33+00:00,1554522115847720963,191,39
Joe Loria,MrJoeLoria,2022-10-28 02:16:38+00:00,1585817637329813505,42,43
Christopher collins,chrisomate91,2017-04-11 03:55:04+00:00,851644742127333377,79,28
aahhmmaaddaabb,aahhmmaaddaabb,2022-04-14 11:01:46+00:00,1514559453806444545,1976,105
Askin Astarburgos,astarburgos,2022-11-16 04:46:10+00:00,1592740655352135680,13,8
Elton Ntini🇿🇦🇿🇼,NtiniElton,2021-11-21 06:03:26+00:00,1462300423436570624,89,32
Raphael Tina,RaphaelTina3,2022-09-08 12:24:28+00:00,1567851242335993856,262,78
Dulham de Slafa,DulhamDeslafa,2022-10-18 07:07:14+00:00,1582266764074913792,47,22
Ofori Francis,OforiFr61618269,2022-10-17 04:08:09+00:00,1581859512000069632,155,37
@mlil4our,mlil4our,2022-10-21 08:47:45+00:00,1583379448564531201,372,122
Adekunle unpredictable..,iconne2020,2022-02-11 12:39:00+00:00,1492115831488188419,2034,967
Akshay Goodun,GoodunAkshay,2022-10-21 13:55:50+00:00,1583456480275070977,27,22
Luke,LukeRony,2013-04-03 01:26:48+00:00,1323621109,1022,409
Ramires camiel,CamielRamires,2022-07-22 10:01:35+00:00,1550420683636834309,801,133
Cleve Lolley,LolleyCleve,2015-06-24 21:48:58+00:00,3254962730,682,200
👑Miss Chanti 1981👑,misschanti1981,2020-04-21 05:33:01+00:00,1252470332755193863,5001,1371
Chris Stone,bruxar77,2012-01-21 21:13:35+00:00,470518566,817,170
nyikad69,nyikad69,2022-07-26 10:13:02+00:00,1551873029248061440,1980,705
Jacob Barringer,JacobBarringer5,2022-08-31 21:04:11+00:00,1565082869382479877,211,167
whit,whitsubstance,2014-11-26 16:33:59+00:00,2893472667,2408,716
Sam E,SamuelEdumu,2021-03-20 08:11:52+00:00,1373185385833070592,5001,726
Jesus Granada,JesusGranada9,2022-09-06 22:11:09+00:00,1567270648996585473,246,16
Michael Muller,Michael47499914,2019-11-19 04:18:41+00:00,1196643898908692480,272,81
Dalhatu Tanimu Kalajanga,DalhatuTanimuK1,2022-01-15 03:58:41+00:00,1482200382252228611,1908,315
Syed Naqvi,KiNgKoNg894,2010-01-29 19:54:51+00:00,109649471,1408,184
🐘 The Great Elephant,IrvinNdlovu1,2010-06-11 17:27:56+00:00,154592164,1530,913
Christopher Barry,Christo88875041,2022-03-21 08:05:29+00:00,1505817652685594626,4136,969
dc hardin,EdekeHardin,2022-07-12 09:01:46+00:00,1546781693129916416,3429,701
Mark Maynard,wildlettuce66,2021-12-05 07:37:15+00:00,1467397486289604610,1366,168
nick,r_dneck04,2020-11-22 03:48:33+00:00,1330357433575895043,354,118
