name,screen_name,created_at,id,friends_count,followers_count
Nikholas Pcenicni,NikPcenicni,2021-08-01 23:14:50+00:00,1421972650486808585,11,3
Hannah,HanCaroline15,2022-06-11 23:30:03+00:00,1535766283287134208,14,1
Anica,amokazv,2018-08-25 00:01:59+00:00,1033142409230737408,34,13
Brayden Schneider,breadyen69,2020-01-24 14:52:10+00:00,1220720920643481600,28,10
thingsmydadsays,thingsm25850322,2020-12-14 21:55:55+00:00,1338603569201688583,8,13
amira 🥸🇧🇧,heIIoamira,2020-09-16 21:22:34+00:00,1306342632550010880,409,161
alyssa,alysamh_,2019-11-27 12:37:54+00:00,1199668624488837121,32,6
Maxim Ferron,MaximFerron,2019-07-03 23:49:46+00:00,1146566733689434112,68,11
Zoe,yikesszoe,2019-03-27 02:18:27+00:00,1110727751122640896,119,23
adina,adinaroo,2014-06-12 21:20:46+00:00,2604695615,285,213
Rebecca Ally,reberkers,2019-01-05 04:58:30+00:00,1081414612564627457,77,11
